Source,Target,Label,Type
1,2,"Edge 1 to 2","Mixed"
1,3,"Edge 1 to 3","Mixed"
1,4,"Edge 1 to 4","Mixed"
1,5,"Edge 1 to 5","Mixed"
1,6,"Edge 1 to 6","Mixed"
1,8,"Edge 1 to 8","Mixed"
1,10,"Edge 1 to 10","Mixed"
1,13,"Edge 1 to 13","Mixed"
1,18,"Edge 1 to 18","Mixed"
1,19,"Edge 1 to 19","Mixed"
1,20,"Edge 1 to 20","Mixed"
1,22,"Edge 1 to 22","Mixed"
1,48,"Edge 1 to 48","Mixed"
2,1,"Edge 2 to 1","Mixed"
2,3,"Edge 2 to 3","Mixed"
2,4,"Edge 2 to 4","Mixed"
2,18,"Edge 2 to 18","Mixed"
2,30,"Edge 2 to 30","Mixed"
3,1,"Edge 3 to 1","Mixed"
3,2,"Edge 3 to 2","Mixed"
3,5,"Edge 3 to 5","Mixed"
3,6,"Edge 3 to 6","Mixed"
3,11,"Edge 3 to 11","Mixed"
3,17,"Edge 3 to 17","Mixed"
3,37,"Edge 3 to 37","Mixed"
3,41,"Edge 3 to 41","Mixed"
3,45,"Edge 3 to 45","Mixed"
4,1,"Edge 4 to 1","Mixed"
4,2,"Edge 4 to 2","Mixed"
4,10,"Edge 4 to 10","Mixed"
4,15,"Edge 4 to 15","Mixed"
4,25,"Edge 4 to 25","Mixed"
4,34,"Edge 4 to 34","Mixed"
4,40,"Edge 4 to 40","Mixed"
4,43,"Edge 4 to 43","Mixed"
5,1,"Edge 5 to 1","Mixed"
5,3,"Edge 5 to 3","Mixed"
5,7,"Edge 5 to 7","Mixed"
5,13,"Edge 5 to 13","Mixed"
5,16,"Edge 5 to 16","Mixed"
5,19,"Edge 5 to 19","Mixed"
5,21,"Edge 5 to 21","Mixed"
5,25,"Edge 5 to 25","Mixed"
5,29,"Edge 5 to 29","Mixed"
5,30,"Edge 5 to 30","Mixed"
5,36,"Edge 5 to 36","Mixed"
5,37,"Edge 5 to 37","Mixed"
5,48,"Edge 5 to 48","Mixed"
5,50,"Edge 5 to 50","Mixed"
6,1,"Edge 6 to 1","Mixed"
6,3,"Edge 6 to 3","Mixed"
6,7,"Edge 6 to 7","Mixed"
6,8,"Edge 6 to 8","Mixed"
6,9,"Edge 6 to 9","Mixed"
6,23,"Edge 6 to 23","Mixed"
6,28,"Edge 6 to 28","Mixed"
6,32,"Edge 6 to 32","Mixed"
6,39,"Edge 6 to 39","Mixed"
6,41,"Edge 6 to 41","Mixed"
7,5,"Edge 7 to 5","Mixed"
7,6,"Edge 7 to 6","Mixed"
7,24,"Edge 7 to 24","Mixed"
7,26,"Edge 7 to 26","Mixed"
8,1,"Edge 8 to 1","Mixed"
8,6,"Edge 8 to 6","Mixed"
8,9,"Edge 8 to 9","Mixed"
8,12,"Edge 8 to 12","Mixed"
8,44,"Edge 8 to 44","Mixed"
9,6,"Edge 9 to 6","Mixed"
9,8,"Edge 9 to 8","Mixed"
9,11,"Edge 9 to 11","Mixed"
9,15,"Edge 9 to 15","Mixed"
9,16,"Edge 9 to 16","Mixed"
9,26,"Edge 9 to 26","Mixed"
9,31,"Edge 9 to 31","Mixed"
9,33,"Edge 9 to 33","Mixed"
9,38,"Edge 9 to 38","Mixed"
10,1,"Edge 10 to 1","Mixed"
10,4,"Edge 10 to 4","Mixed"
10,12,"Edge 10 to 12","Mixed"
10,14,"Edge 10 to 14","Mixed"
10,17,"Edge 10 to 17","Mixed"
10,23,"Edge 10 to 23","Mixed"
10,47,"Edge 10 to 47","Mixed"
11,3,"Edge 11 to 3","Mixed"
11,9,"Edge 11 to 9","Mixed"
11,14,"Edge 11 to 14","Mixed"
11,21,"Edge 11 to 21","Mixed"
11,29,"Edge 11 to 29","Mixed"
11,36,"Edge 11 to 36","Mixed"
12,8,"Edge 12 to 8","Mixed"
12,10,"Edge 12 to 10","Mixed"
12,24,"Edge 12 to 24","Mixed"
13,1,"Edge 13 to 1","Mixed"
13,5,"Edge 13 to 5","Mixed"
13,20,"Edge 13 to 20","Mixed"
13,27,"Edge 13 to 27","Mixed"
13,28,"Edge 13 to 28","Mixed"
13,32,"Edge 13 to 32","Mixed"
13,42,"Edge 13 to 42","Mixed"
14,10,"Edge 14 to 10","Mixed"
14,11,"Edge 14 to 11","Mixed"
14,27,"Edge 14 to 27","Mixed"
14,42,"Edge 14 to 42","Mixed"
15,4,"Edge 15 to 4","Mixed"
15,9,"Edge 15 to 9","Mixed"
15,33,"Edge 15 to 33","Mixed"
16,5,"Edge 16 to 5","Mixed"
16,9,"Edge 16 to 9","Mixed"
16,46,"Edge 16 to 46","Mixed"
17,3,"Edge 17 to 3","Mixed"
17,10,"Edge 17 to 10","Mixed"
18,1,"Edge 18 to 1","Mixed"
18,2,"Edge 18 to 2","Mixed"
19,1,"Edge 19 to 1","Mixed"
19,5,"Edge 19 to 5","Mixed"
19,22,"Edge 19 to 22","Mixed"
19,34,"Edge 19 to 34","Mixed"
19,44,"Edge 19 to 44","Mixed"
20,1,"Edge 20 to 1","Mixed"
20,13,"Edge 20 to 13","Mixed"
21,5,"Edge 21 to 5","Mixed"
21,11,"Edge 21 to 11","Mixed"
21,39,"Edge 21 to 39","Mixed"
22,1,"Edge 22 to 1","Mixed"
22,19,"Edge 22 to 19","Mixed"
22,49,"Edge 22 to 49","Mixed"
23,6,"Edge 23 to 6","Mixed"
23,10,"Edge 23 to 10","Mixed"
23,38,"Edge 23 to 38","Mixed"
24,7,"Edge 24 to 7","Mixed"
24,12,"Edge 24 to 12","Mixed"
25,4,"Edge 25 to 4","Mixed"
25,5,"Edge 25 to 5","Mixed"
25,43,"Edge 25 to 43","Mixed"
26,7,"Edge 26 to 7","Mixed"
26,9,"Edge 26 to 9","Mixed"
26,35,"Edge 26 to 35","Mixed"
27,13,"Edge 27 to 13","Mixed"
27,14,"Edge 27 to 14","Mixed"
28,6,"Edge 28 to 6","Mixed"
28,13,"Edge 28 to 13","Mixed"
28,31,"Edge 28 to 31","Mixed"
29,5,"Edge 29 to 5","Mixed"
29,11,"Edge 29 to 11","Mixed"
30,2,"Edge 30 to 2","Mixed"
30,5,"Edge 30 to 5","Mixed"
31,9,"Edge 31 to 9","Mixed"
31,28,"Edge 31 to 28","Mixed"
32,6,"Edge 32 to 6","Mixed"
32,13,"Edge 32 to 13","Mixed"
32,35,"Edge 32 to 35","Mixed"
33,9,"Edge 33 to 9","Mixed"
33,15,"Edge 33 to 15","Mixed"
33,40,"Edge 33 to 40","Mixed"
33,46,"Edge 33 to 46","Mixed"
33,47,"Edge 33 to 47","Mixed"
33,49,"Edge 33 to 49","Mixed"
34,4,"Edge 34 to 4","Mixed"
34,19,"Edge 34 to 19","Mixed"
35,26,"Edge 35 to 26","Mixed"
35,32,"Edge 35 to 32","Mixed"
36,5,"Edge 36 to 5","Mixed"
36,11,"Edge 36 to 11","Mixed"
37,3,"Edge 37 to 3","Mixed"
37,5,"Edge 37 to 5","Mixed"
37,45,"Edge 37 to 45","Mixed"
38,9,"Edge 38 to 9","Mixed"
38,23,"Edge 38 to 23","Mixed"
39,6,"Edge 39 to 6","Mixed"
39,21,"Edge 39 to 21","Mixed"
40,4,"Edge 40 to 4","Mixed"
40,33,"Edge 40 to 33","Mixed"
41,3,"Edge 41 to 3","Mixed"
41,6,"Edge 41 to 6","Mixed"
42,13,"Edge 42 to 13","Mixed"
42,14,"Edge 42 to 14","Mixed"
42,50,"Edge 42 to 50","Mixed"
43,4,"Edge 43 to 4","Mixed"
43,25,"Edge 43 to 25","Mixed"
44,8,"Edge 44 to 8","Mixed"
44,19,"Edge 44 to 19","Mixed"
45,3,"Edge 45 to 3","Mixed"
45,37,"Edge 45 to 37","Mixed"
46,16,"Edge 46 to 16","Mixed"
46,33,"Edge 46 to 33","Mixed"
47,10,"Edge 47 to 10","Mixed"
47,33,"Edge 47 to 33","Mixed"
48,1,"Edge 48 to 1","Mixed"
48,5,"Edge 48 to 5","Mixed"
49,22,"Edge 49 to 22","Mixed"
49,33,"Edge 49 to 33","Mixed"
50,5,"Edge 50 to 5","Mixed"
50,42,"Edge 50 to 42","Mixed"
